date,industry,filled_jobs
2021-10-01,electricity_gas_water_and_waste_services,21153.0
2021-10-01,financial_and_insurance_services,66764.0
2021-10-01,health_care_and_social_assistance,260422.0
2021-10-01,information_media_and_telecommunications,30327.0
2021-10-01,manufacturing,230322.0
2021-10-01,mining,5548.0
2021-10-01,other_services,78723.0
2021-10-01,professional_scientific_and_technical_services,183534.0
2021-10-01,public_administration_and_safety,150668.0
2021-10-01,rental_hiring_and_real_estate_services,36600.0
2021-10-01,retail_trade,213430.0
2021-10-01,transport_postal_and_warehousing,88692.0
2021-10-01,wholesale_trade,113407.0
2021-11-01,accommodation_and_food_services,152237.0
2021-11-01,administrative_and_support_services,103569.0
2021-11-01,agriculture_forestry_and_fishing,109016.0
2021-11-01,arts_and_recreation_services,39680.0
2021-11-01,construction,199559.0
2021-11-01,education_and_training,203072.0
2021-11-01,electricity_gas_water_and_waste_services,21399.0
2021-11-01,financial_and_insurance_services,67317.0
2021-11-01,health_care_and_social_assistance,260356.0
2021-11-01,information_media_and_telecommunications,30758.0
2021-11-01,manufacturing,234462.0
2021-11-01,mining,5509.0
2021-11-01,other_services,79514.0
2021-11-01,professional_scientific_and_technical_services,185965.0
2021-11-01,public_administration_and_safety,152239.0
2021-11-01,rental_hiring_and_real_estate_services,37105.0
2021-11-01,retail_trade,221629.0
2021-11-01,transport_postal_and_warehousing,90268.0
2021-11-01,wholesale_trade,114817.0
2021-12-01,accommodation_and_food_services,151729.0
2021-12-01,administrative_and_support_services,103983.0
2021-12-01,agriculture_forestry_and_fishing,113487.0
2021-12-01,arts_and_recreation_services,39571.0
2021-12-01,construction,200201.0
2021-12-01,education_and_training,199635.0
2021-12-01,electricity_gas_water_and_waste_services,21646.0
2021-12-01,financial_and_insurance_services,67693.0
2021-12-01,health_care_and_social_assistance,259504.0
2021-12-01,information_media_and_telecommunications,31133.0
2021-12-01,manufacturing,238132.0
2021-12-01,mining,5576.0
2021-12-01,other_services,79834.0
2021-12-01,professional_scientific_and_technical_services,187367.0
2021-12-01,public_administration_and_safety,153223.0
2021-12-01,rental_hiring_and_real_estate_services,37450.0
2021-12-01,retail_trade,227725.0
2021-12-01,transport_postal_and_warehousing,90883.0
2021-12-01,wholesale_trade,116116.0
2022-01-01,accommodation_and_food_services,145416.0
2022-01-01,administrative_and_support_services,97861.0
2022-01-01,agriculture_forestry_and_fishing,109679.0
2022-01-01,arts_and_recreation_services,38063.0
2022-01-01,construction,196741.0
2022-01-01,education_and_training,197532.0
2022-01-01,electricity_gas_water_and_waste_services,21693.0
2022-01-01,financial_and_insurance_services,67090.0
2022-01-01,health_care_and_social_assistance,255413.0
2022-01-01,information_media_and_telecommunications,30720.0
2022-01-01,manufacturing,234206.0
2022-01-01,mining,5516.0
2022-01-01,other_services,77721.0
2022-01-01,professional_scientific_and_technical_services,185788.0
2022-01-01,public_administration_and_safety,151569.0
2022-01-01,rental_hiring_and_real_estate_services,36612.0
2022-01-01,retail_trade,219580.0
2022-01-01,transport_postal_and_warehousing,89415.0
2022-01-01,wholesale_trade,113939.0
2022-02-01,accommodation_and_food_services,143997.0
2022-02-01,administrative_and_support_services,101002.0
2022-02-01,agriculture_forestry_and_fishing,105990.0
2022-02-01,arts_and_recreation_services,38107.0
2022-02-01,construction,200776.0
2022-02-01,education_and_training,193916.0
2022-02-01,electricity_gas_water_and_waste_services,21685.0
2022-02-01,financial_and_insurance_services,67700.0
2022-02-01,health_care_and_social_assistance,259470.0
2022-02-01,information_media_and_telecommunications,30977.0
2022-02-01,manufacturing,237908.0
