date,region,filled_jobs
2022-06-01,wellington,256589.0
2022-06-01,west_coast,14591.0
2022-07-01,auckland,774052.0
2022-07-01,bay_of_plenty,142050.0
2022-07-01,canterbury,303074.0
2022-07-01,gisborne,22892.0
2022-07-01,hawke's_bay,80135.0
2022-07-01,manawatu_whanganui,111953.0
2022-07-01,marlborough,26602.0
2022-07-01,nelson,20832.0
2022-07-01,northland,72784.0
2022-07-01,otago,113103.0
2022-07-01,southland,47387.0
2022-07-01,taranaki,54740.0
2022-07-01,tasman,25275.0
2022-07-01,waikato,220879.0
2022-07-01,wellington,256658.0
2022-07-01,west_coast,14555.0
2022-08-01,auckland,777101.0
2022-08-01,bay_of_plenty,142245.0
2022-08-01,canterbury,304985.0
2022-08-01,gisborne,22806.0
2022-08-01,hawke's_bay,79814.0
2022-08-01,manawatu_whanganui,112482.0
2022-08-01,marlborough,26642.0
2022-08-01,nelson,20759.0
2022-08-01,northland,73042.0
2022-08-01,otago,112995.0
2022-08-01,southland,47983.0
2022-08-01,taranaki,54890.0
2022-08-01,tasman,25096.0
2022-08-01,waikato,222317.0
2022-08-01,wellington,258666.0
2022-08-01,west_coast,14644.0
2022-09-01,auckland,780531.0
2022-09-01,bay_of_plenty,142822.0
2022-09-01,canterbury,306963.0
2022-09-01,gisborne,22690.0
2022-09-01,hawke's_bay,79078.0
2022-09-01,manawatu_whanganui,112537.0
2022-09-01,marlborough,26811.0
2022-09-01,nelson,20804.0
2022-09-01,northland,73338.0
2022-09-01,otago,113247.0
2022-09-01,southland,48287.0
2022-09-01,taranaki,54968.0
2022-09-01,tasman,24737.0
2022-09-01,waikato,223164.0
2022-09-01,wellington,258777.0
2022-09-01,west_coast,14749.0
2022-10-01,auckland,785924.0
2022-10-01,bay_of_plenty,143661.0
2022-10-01,canterbury,309600.0
2022-10-01,gisborne,23236.0
2022-10-01,hawke's_bay,79199.0
2022-10-01,manawatu_whanganui,113742.0
2022-10-01,marlborough,26504.0
2022-10-01,nelson,20903.0
2022-10-01,northland,73998.0
2022-10-01,otago,114727.0
2022-10-01,southland,48946.0
2022-10-01,taranaki,54988.0
2022-10-01,tasman,25009.0
2022-10-01,waikato,225198.0
2022-10-01,wellington,259432.0
2022-10-01,west_coast,14901.0
2022-11-01,auckland,796263.0
2022-11-01,bay_of_plenty,145106.0
2022-11-01,canterbury,312792.0
2022-11-01,gisborne,23310.0
2022-11-01,hawke's_bay,81561.0
2022-11-01,manawatu_whanganui,114448.0
2022-11-01,marlborough,27409.0
2022-11-01,nelson,21171.0
2022-11-01,northland,75103.0
2022-11-01,otago,115812.0
2022-11-01,southland,49618.0
2022-11-01,taranaki,56085.0
2022-11-01,tasman,25667.0
2022-11-01,waikato,227960.0
2022-11-01,wellington,261857.0
2022-11-01,west_coast,15072.0
2022-12-01,auckland,794720.0
2022-12-01,bay_of_plenty,145222.0
2022-12-01,canterbury,313059.0
2022-12-01,gisborne,23412.0
2022-12-01,hawke's_bay,83414.0
2022-12-01,manawatu_whanganui,114508.0
2022-12-01,marlborough,27628.0
2022-12-01,nelson,21229.0
2022-12-01,northland,75212.0
2022-12-01,otago,116699.0
2022-12-01,southland,50167.0
2022-12-01,taranaki,56067.0
2022-12-01,tasman,26097.0
2022-12-01,waikato,227792.0
2022-12-01,wellington,261348.0
2022-12-01,west_coast,15126.0
2023-01-01,auckland,780131.0
2023-01-01,bay_of_plenty,142356.0
2023-01-01,canterbury,307422.0
2023-01-01,gisborne,22768.0
2023-01-01,hawke's_bay,81766.0
2023-01-01,manawatu_whanganui,113014.0
2023-01-01,marlborough,27236.0
2023-01-01,nelson,20955.0
2023-01-01,northland,73744.0
2023-01-01,otago,115813.0
2023-01-01,southland,49752.0
2023-01-01,taranaki,55479.0
2023-01-01,tasman,25728.0
2023-01-01,waikato,224279.0
2023-01-01,wellington,256972.0
2023-01-01,west_coast,14954.0
2023-02-01,auckland,792283.0
2023-02-01,bay_of_plenty,143788.0
2023-02-01,canterbury,311285.0
2023-02-01,gisborne,22956.0
2023-02-01,hawke's_bay,82548.0
2023-02-01,manawatu_whanganui,113987.0
2023-02-01,marlborough,27521.0
2023-02-01,nelson,21223.0
2023-02-01,northland,74123.0
2023-02-01,otago,117002.0
2023-02-01,southland,50372.0
2023-02-01,taranaki,56002.0
2023-02-01,tasman,26116.0
2023-02-01,waikato,226954.0
2023-02-01,wellington,260650.0
2023-02-01,west_coast,15110.0
2023-03-01,auckland,798965.0
2023-03-01,bay_of_plenty,145281.0
2023-03-01,canterbury,312560.0
2023-03-01,gisborne,23294.0
2023-03-01,hawke's_bay,83639.0
2023-03-01,manawatu_whanganui,113989.0
2023-03-01,marlborough,28278.0
2023-03-01,nelson,21257.0
2023-03-01,northland,74740.0
2023-03-01,otago,117620.0
2023-03-01,southland,50102.0
2023-03-01,taranaki,56034.0
2023-03-01,tasman,26824.0
2023-03-01,waikato,227625.0
2023-03-01,wellington,261639.0
2023-03-01,west_coast,15088.0
2023-04-01,auckland,804055.0
2023-04-01,bay_of_plenty,149376.0
2023-04-01,canterbury,312679.0
2023-04-01,gisborne,23272.0
2023-04-01,hawke's_bay,84401.0
2023-04-01,manawatu_whanganui,113935.0
2023-04-01,marlborough,28303.0
2023-04-01,nelson,21213.0
2023-04-01,northland,75056.0
2023-04-01,otago,117922.0
2023-04-01,southland,49845.0
2023-04-01,taranaki,56105.0
2023-04-01,tasman,26797.0
2023-04-01,waikato,228065.0
2023-04-01,wellington,261857.0
2023-04-01,west_coast,15079.0
2023-05-01,auckland,806442.0
2023-05-01,bay_of_plenty,148624.0
2023-05-01,canterbury,312698.0
2023-05-01,gisborne,23378.0
2023-05-01,hawke's_bay,83054.0
2023-05-01,manawatu_whanganui,113672.0
2023-05-01,marlborough,27833.0
2023-05-01,nelson,21012.0
2023-05-01,northland,74653.0
2023-05-01,otago,117308.0
2023-05-01,southland,49080.0
2023-05-01,taranaki,55792.0
2023-05-01,tasman,26349.0
2023-05-01,waikato,227981.0
2023-05-01,wellington,261883.0
2023-05-01,west_coast,14917.0
2023-06-01,auckland,808150.0
2023-06-01,bay_of_plenty,147333.0
2023-06-01,canterbury,313393.0
2023-06-01,gisborne,23102.0
2023-06-01,hawke's_bay,82092.0
2023-06-01,manawatu_whanganui,114159.0
2023-06-01,marlborough,27861.0
2023-06-01,nelson,21028.0
2023-06-01,northland,74561.0
2023-06-01,otago,117778.0
2023-06-01,southland,48931.0
2023-06-01,taranaki,55794.0
2023-06-01,tasman,26072.0
2023-06-01,waikato,228246.0
2023-06-01,wellington,262307.0
